IdProducto	IdSubcategoria	Producto	Color	ListPrice	Tamaño	RangoTamaño	Línea	Modelo	Status
562	3	Touring-1000 Yellow, 50	Yellow	2384,07	50	48-52 CM	T	Touring-1000	Current
185		HL Road Rim	NA			NA			Current
465	20	Half-Finger Gloves, M	Black	24,49	M	M	S	Half-Finger Gloves	Current
81		Keyed Washer	NA			NA			Current
329	2	Road-650 Red, 48	Red	782,99	48	48-52 CM	R	Road-650	
243	14	HL Road Frame - Red, 44	Red	1431,5	44	42-46 CM	R	HL Road Frame	Current
397	4	LL Mountain Handlebars	NA	40,4909		NA	M	LL Mountain Handlebars	
220	31	Sport-100 Helmet, Blue	Blue	33,6442		NA	S	Sport-100	
237	21	Long-Sleeve Logo Jersey, XL	Multi	49,99	XL	XL	S	Long-Sleeve Logo Jersey	Current
305	12	HL Mountain Frame - Black, 38	Black	1226,9091	38	38-40 CM	M	HL Mountain Frame	
477	28	Water Bottle - 30 oz.	NA	4,99		NA	S	Water Bottle	Current
600	1	Mountain-500 Black, 52	Black	539,99	52	48-52 CM	M	Mountain-500	Current
86		External Lock Washer 7	NA			NA			Current
8		HL Crankarm	Black			NA			Current
386	2	Road-550-W Yellow, 42	Yellow	1120,49	42	42-46 CM	R	Road-550-W	Current
437	14	HL Road Frame - Black, 62	Black	1301,3636	62	60-62 CM	R	HL Road Frame	
498	16	HL Touring Frame - Blue, 50	Blue	1003,91	50	48-52 CM	T	HL Touring Frame	Current
91		Internal Lock Washer 3	NA			NA			Current
588	1	Mountain-400-W Silver, 40	Silver	769,49	40	38-40 CM	M	Mountain-400-W	Current
181		ML Mountain Rim	NA			NA			Current
536	37	ML Mountain Tire	NA	29,99		NA	M	ML Mountain Tire	Current
426	12	ML Mountain Frame - Black, 40	Black	348,76	40	38-40 CM	M	ML Mountain Frame	
401	4	HL Mountain Handlebars	NA	109,3364		NA	M	HL Mountain Handlebars	
96		Internal Lock Washer 6	NA			NA			Current
3		BB Ball Bearing	NA			NA			Current
20		Fork End	NA			NA			Current
247	14	HL Road Frame - Red, 52	Red	1263,4598	52	48-52 CM	R	HL Road Frame	
282	14	LL Road Frame - Black, 48	Black	297,6346	48	48-52 CM	R	LL Road Frame	
564	3	Touring-1000 Yellow, 60	Yellow	2384,07	60	60-62 CM	T	Touring-1000	Current
228	21	Long-Sleeve Logo Jersey, S	Multi	49,99	S	S	S	Long-Sleeve Logo Jersey	Current
476	22	Women's Mountain Shorts, L	Black	69,99	L	L	M	Women's Mountain Shorts	Current
242	14	HL Road Frame - Red, 44	Red	1301,3636	44	42-46 CM	R	HL Road Frame	
101		Thin-Jam Lock Nut 9	NA			NA			Current
471	25	Classic Vest, S	Blue	63,5	S	S	S	Classic Vest	Current
141		Lower Head Race	NA			NA			Current
314	2	Road-150 Red, 56	Red	3578,27	56	54-58 CM	R	Road-150	
537	37	HL Mountain Tire	NA	35		NA	M	HL Mountain Tire	Current
106		Thin-Jam Lock Nut 16	NA			NA			Current
539	37	ML Road Tire	NA	24,99		NA	R	ML Road Tire	Current
146		Lock Washer 13	NA			NA			Current
